VIN,Year,Make,Model,Type,Trim,Miles,Price,Location,Dealership,Engine,Transmission,Drivetrain,Exterior Color,Interior Color,Seating Capacity,Fuel Economy City,Fuel Economy Highway,Features,Listing URL,Image URL 1,Image URL 2,Image URL 3
WDC4M4HB0LW008033,2020,Mercedes-Benz,GLB,SUV,250,32337,22250,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Mercedes-Benz/2020-Mercedes-Benz-GLB-74c38f7aac183b60b185bb52af47bfbe.htm,WDC4M4HB0LW008033.webp,,
JF1GUAFC7R8299694,2024,Subaru,Impreza,sedan,Sport,16044,22700,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Subaru/2024-Subaru-Impreza-e1c1fb8eac181f3f5066b3cb3d8b617e.htm,JF1GUAFC7R8299694.webp,,
WA1CAAFYXM2012738,2021,Audi,Q5,SUV,45 Prestige,76734,23000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2021-Audi-Q5-74c39599ac1832d863df5ca659c7c9a2.htm,WA1CAAFYXM2012738.webp,,
3VV2B7AX5NM153387,2022,Volkswagen,Tiguan,SUV,2.0T SE,22756,23000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Volkswagen/2022-Volkswagen-Tiguan-3949c23eac185eeb7ca8eae51c4080fe.htm,3VV2B7AX5NM153387.webp,,
JM3KFBBM0P0161985,2023,Mazda,CX-5,SUV,2.5 S Select Package,10042,24000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Mazda/2023-Mazda-CX-5-2d8c9c5aac184f944c6da1843a6f5b90.htm,JM3KFBBM0P0161985.webp,,
3MVDMBCM9PM548276,2023,Mazda,CX-30,SUV,2.5 S Carbon Edition,10966,24350,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Mazda/2023-Mazda-CX-30-a915175cac1808b693b4732eff30c117.htm,3MVDMBCM9PM548276.webp,,
3MVDMBCM0PM534475,2023,Mazda,CX-30,SUV,2.5 S Carbon Edition,2952,24850,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Mazda/2023-Mazda-CX-30-101f4f34ac182f71495d71722932f0ee.htm,3MVDMBCM0PM534475.webp,,
WAUHUDGY9PA012000,2023,Audi,A3,sedan,40 Premium Plus,17078,28000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2023-Audi-A3-05c477b0ac181f3f5066b3cb1bc08969.htm,WAUHUDGY9PA012000.webp,,
4T1DAACK1SU164687,2025,Toyota,Camry,sedan,LE,400,28000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Toyota/2025-Toyota-Camry-2a4d614cac184f4976ae1bd0c4e0ec0d.htm,4T1DAACK1SU164687.webp,,
WA1EECF33N1030907,2022,Audi,Q3,SUV,Premium Plus,25494,28200,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2022-Audi-Q3-1536dbedac1823afbf61a7947066b162.htm,WA1EECF33N1030907.webp,,
WA1EECF34N1031404,2022,Audi,Q3,SUV,Premium Plus,19591,28400,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2022-Audi-Q3-895ab0e5ac185540a18f33167832c91c.htm,WA1EECF34N1031404.webp,,
WA1E2AFY9N2079368,2022,Audi,Q5 e,SUV,55 Premium Plus,41050,28500,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2022-Audi-Q5-e-cd2e8a08ac181f92901001b85802b486.htm,WA1E2AFY9N2079368.webp,,
WA12AAGE8NB008303,2022,Audi,e-tron,SUV,Sportback S Line Premium Plus,28735,29000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2022-Audi-e-tron-Sportback-a9151ddcac180b026b2a030fc0a1cfbb.htm,WA12AAGE8NB008303.webp,,
WA19NAF46KA047629,2019,Audi,A4 Allroad,sedan,2.0T Prestige,39737,30000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2019-Audi-A4-Allroad-0ae6147fac1839ffd61117daaad5a0c2.htm,WA19NAF46KA047629.webp,,
WA1EAAFYXP2031481,2023,Audi,Q5,SUV,45 S Line Premium Plus,32827,30000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2023-Audi-Q5-f655fdbdac1839ffd61117da260a13a2.htm,WA1EAAFYXP2031481.webp,,
JM3KFBELXR0499240,2024,Mazda,CX-5,SUV,2.5 S Premium Plus Package,7705,30000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Mazda/2024-Mazda-CX-5-42238399ac18398030ed32a58668413a.htm,JM3KFBELXR0499240.webp,,
LVYBR0AL2KP110168,2019,Volvo,S90 Hybrid,sedan,T8 Inscription,28104,30000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Volvo/2019-Volvo-S90-Hybrid-5f8c5c81ac18404058e611a59183722e.htm,LVYBR0AL2KP110168.webp,,
1V2BP2CA9PC522167,2023,Volkswagen,Atlas,SUV,2.0T SEL,18017,30900,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volkswagen/2023-Volkswagen-Atlas-c96e1223ac1825c50394eb00821d5d36.htm,1V2BP2CA9PC522167.webp,,
3VVCB7AX8RM229081,2024,Volkswagen,Tiguan,SUV,2.0T SE R-Line Black,17,31900,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Volkswagen/2024-Volkswagen-Tiguan-60275ac9ac183b60b185bb52e027afa3.htm,3VVCB7AX8RM229081.webp,,
WAUHUDGY9SA056961,2025,Audi,A3,sedan,40 Premium Plus,3423,35000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Audi/2025-Audi-A3-3ed60910ac184e217849628ddef9bf3b.htm,WAUHUDGY9SA056961.webp,,
WAUHUDGY5SA054933,2025,Audi,A3,sedan,40 Premium Plus,5853,35000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Audi/2025-Audi-A3-a9151a6aac182f85e9d0168dbed4f669.htm,WAUHUDGY5SA054933.webp,,
YV4BR00L6N1794669,2022,Volvo,XC90 Recharge,SUV,Plug-In Hybrid T8 Inscription 6 Passenger,43037,37000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volvo/2022-Volvo-XC90-Recharge-Plug-In-Hybrid-d309ac2aac18205d3d825e890a5852e5.htm,YV4BR00L6N1794669.webp,,
WA16ABGE7RB008273,2024,Audi,Q8 e-tron,SUV,Prestige,34594,39000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2024-Audi-Q8-e-tron-a9151beeac182deea696cd0a252dcdba.htm,WA16ABGE7RB008273.webp,,
1V2AE2CA4RC237364,2024,Volkswagen,Atlas Cross,SUV,Sport 2.0T SEL R-Line,354,39500,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Volkswagen/2024-Volkswagen-Atlas-Cross-Sport-602762b2ac1840dfbb8815d91974e358.htm,1V2AE2CA4RC237364.webp,,
WA1GAAFY6R2073643,2024,Audi,Q5,SUV,45 S Line Premium,4401,40000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Audi/2024-Audi-Q5-e1c1f90bac181ed93e12257530b7a71c.htm,WA1GAAFY6R2073643.webp,,
YV4M12RJ0S1045729,2025,Volvo,XC60 B5,SUV,Core,4455,40000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Volvo/2025-Volvo-XC60-c75f4e21ac182313a3512aaf39eef73b.htm,YV4M12RJ0S1045729.webp,,
YV4M12RJ7S1050183,2025,Volvo,XC60 B5,SUV,Core,3138,40000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Volvo/2025-Volvo-XC60-c75f5239ac183ae2099b81106d72067f.htm,YV4M12RJ7S1050183.webp,,
YV4H600A0P1914731,2023,Volvo,XC90 Recharge,SUV,Plug-In Hybrid Ultimate,52766,40000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Volvo/2023-Volvo-XC90-Recharge-Plug-In-Hybrid-ee2cfbb8ac1853bce956a2ebe2371559.htm,YV4H600A0P1914731.webp,,
7FCTGBAAXPN027094,2023,Rivian,R1T,truck,Adventure,13133,56900,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Rivian/2023-Rivian-R1T-d247b8ebac1821d1dfd7e2a0d5b6ff58.htm,7FCTGBAAXPN027094.webp,,
WA1EVBF1XSD014626,2025,Audi,Q8,SUV,55 Premium Plus,9292,66000,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/certified/Audi/2025-Audi-Q8-63369958ac181f4f2fec5dbe5d609648.htm,WA1EVBF1XSD014626.webp,,
WA1VWBF79RD002298,2024,Audi,SQ7,SUV,Prestige,9222,82500,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/Audi/2024-Audi-SQ7-70fe0a74ac185c24ac6c41b3db6fb27b.htm,WA1VWBF79RD002298.webp,,
WBS43AY08PFR41702,2023,BMW,M3 ,sedan,Competition,14828,82900,San Francisco CA,Royal Motors SF,,,,,,,,,,https://www.royalauto.com/used/BMW/2023-BMW-M3-60276831ac185252e576917fe91812a3.htm,WBS43AY08PFR41702.webp,,
